Date,AMZN,SP500,TSLA
2013-01-08,-0.778047975,-0.325010546,-1.940913185
2013-01-09,-0.011481543,0.265015418,-0.119054605
2013-01-10,-0.379952245,0.756842574,-0.32755486
2013-01-11,0.974970504,-0.004888478,-1.866536739
2013-01-14,#VALUE!,#VALUE!,#VALUE!
2013-01-15,-0.305019734,0.112584144,1.905734884
2013-01-16,-1.098542469,0.019478069,0.588017812
2013-01-17,0.57451846,0.562514238,0.817569786
2013-01-18,0.604301023,0.339557453,0.406194845
2013-01-22,-0.711962229,0.441641441,1.922116731
2013-01-23,-0.772977834,0.150469809,2.275534329
2013-01-24,1.975639402,0.000497036,2.712702355
2013-01-25,3.778174728,0.542879109,-0.027229769
2013-01-28,-2.839536749,-0.18535259,2.79959042
2013-01-29,-5.852137845,0.509053795,-0.210828385
2013-01-30,4.656322988,-0.390943653,-1.139757148
2013-01-31,-2.697940144,-0.256851004,-0.026847785
2013-02-01,-0.188720648,1.000032171,2.084014031
2013-02-04,#VALUE!,#VALUE!,#VALUE!
2013-02-05,2.622970562,1.036044036,1.027864215
2013-02-06,-1.765498659,0.054682804,2.690758203
2013-02-07,-0.762014404,-0.180922253,0.788087511
2013-02-08,0.658560225,0.563980276,-0.609977165
2013-02-11,-1.826277261,-0.060821909,-2.112039516
2013-02-12,0.57743809,0.159208337,-1.389285012
2013-02-13,4.078601722,0.059016974,1.466955311
2013-02-14,-0.085585042,0.068851557,-0.469431432
2013-02-15,-1.553540596,-0.104727175,-3.26695335
2013-02-19,1.742431045,0.730777641,5.87151559
2013-02-20,-1.246103143,-1.248362909,-1.902073831
2013-02-21,-0.176768137,-0.632492312,-9.178950798
2013-02-22,-0.195911877,0.873229582,2.665884466
2013-02-25,-2.113395706,-1.848119339,-4.909675314
2013-02-26,-0.196695233,0.608841056,0.145081164
2013-02-27,1.488468511,1.264323348,1.927038737
2013-02-28,0.386437543,-0.086719284,-0.772478582
2013-03-01,0.554406967,0.231814545,-0.518437244
2013-03-04,2.735350025,0.459738682,2.648321688
2013-03-05,#VALUE!,#VALUE!,#VALUE!
2013-03-06,-0.655610512,0.108063747,2.797809128
2013-03-07,0.032536279,0.181155606,1.422245276
2013-03-08,0.112766987,0.44675671,0.625460741
2013-03-11,-1.082086472,0.324025723,1.624018858
2013-03-12,1.059517605,-0.240943356,0.05080905
2013-03-13,0.352838946,0.130935414,-0.35889867
2013-03-14,-3.461935391,0.558433786,-5.619608914
2013-03-15,-1.486409174,-0.162278726,-4.325899465
2013-03-18,-1.512708961,-0.552858366,-0.397803313
2013-03-19,-0.575846783,-0.242848358,-0.199646445
2013-03-20,0.338504888,0.667297196,2.449572488
2013-03-21,-1.523792197,-0.831966341,0.166485377
2013-03-22,1.705758331,0.714590419,1.679512186
2013-03-25,-0.673733916,-0.334836951,2.454333417
2013-03-26,1.66149576,0.775222403,0.875179291
2013-03-27,1.89852554,-0.059126281,0.788996107
2013-03-28,0.447300026,0.404599712,-0.71030873
2013-04-01,-1.848463384,-0.44863563,14.79074932
2013-04-02,0.651279562,0.515646811,0.928728045
2013-04-03,-1.642808574,-1.060405129,-7.588100049
2013-04-04,0.019104508,0.403836117,2.189764587
2013-04-05,-1.399464891,-0.430606287,-1.535362252
2013-04-08,1.348900837,0.628104096,1.105588717
2013-04-09,0.84197624,0.353614796,-3.231372915
2013-04-10,1.380257185,1.211325148,3.302655112
2013-04-11,1.900287044,0.354403859,4.049513142
2013-04-12,1.112673592,-0.284326374,0.36613808
2013-04-15,-1.905572881,-2.323604285,-1.03408956
2013-04-16,#VALUE!,#VALUE!,#VALUE!
2013-04-17,-1.830782056,-1.443350513,-0.307776538
2013-04-18,-3.029914001,-0.672547416,3.289436161
2013-04-19,0.34616065,0.880734544,1.814231382
2013-04-22,1.23294696,0.464888041,4.816082817
2013-04-23,2.009456538,1.036339481,1.620397046
2013-04-24,-0.044826137,0.000442251,-1.143737365
2013-04-25,2.178479555,0.402497066,3.065583866
2013-04-26,-7.516339305,-0.184572964,-1.550610434
2013-04-29,-2.009968265,0.715839749,7.050023081
2013-04-30,1.616390718,0.248017362,-1.744448027
2013-05-01,-2.223187194,-0.935311641,-1.323946183
2013-05-02,1.725189734,0.93623602,1.545634159
